Scene_ID,Object_Name,View,Total_Keypoints,Good_Matches,Num_Inliers,Inlier_Match_Ratio,Inlier_Total_Ratio,Match_Ratio,Predicted_Detection,Actual_Detection
S1,ornament,front,910,118,31,0.2627118644067797,0.03406593406593406,0.12967032967032968,True,True
S1,deodorant,front,2851,69,7,0.10144927536231885,0.002455278849526482,0.024202034373903895,False,False
S1,batman,front,1033,42,6,0.14285714285714285,0.005808325266214908,0.04065827686350436,False,False
S1,camera,front,1252,39,5,0.1282051282051282,0.003993610223642172,0.031150159744408944,False,False
S1,vitamins,front,2154,43,6,0.13953488372093023,0.002785515320334262,0.019962859795728878,False,False
S1,nutella,front,6954,172,8,0.046511627906976744,0.0011504170261719873,0.02473396606269773,False,False
S1,book,front,1894,77,8,0.1038961038961039,0.004223864836325237,0.04065469904963041,False,False
S1,mug,front,88,18,5,0.2777777777777778,0.056818181818181816,0.20454545454545456,False,False
S1,peanut_butter,front,1485,55,8,0.14545454545454545,0.0053872053872053875,0.037037037037037035,False,False
S2,ornament,front,910,103,39,0.3786407766990291,0.04285714285714286,0.11318681318681319,True,True
S2,deodorant,front,2851,264,121,0.4583333333333333,0.04244124868467204,0.09259908803928446,True,True
S2,batman,front,1033,50,7,0.14,0.006776379477250726,0.0484027105517909,False,False
S2,camera,front,1252,85,7,0.08235294117647059,0.005591054313099041,0.06789137380191693,False,False
S2,vitamins,front,2154,96,9,0.09375,0.004178272980501393,0.04456824512534819,False,False
S2,nutella,front,6954,225,9,0.04,0.0012942191544434857,0.032355478861087146,False,False
S2,book,front,1894,102,7,0.06862745098039216,0.003695881731784583,0.05385427666314678,False,False
S2,mug,front,88,10,4,0.4,0.045454545454545456,0.11363636363636363,False,False
S2,peanut_butter,front,1485,73,6,0.0821917808219178,0.00404040404040404,0.04915824915824916,False,False
S2,bottle,front,94,11,3,0.2727272727272727,0.031914893617021274,0.11702127659574468,False,False
S3,ornament,front,910,98,36,0.3673469387755102,0.03956043956043956,0.1076923076923077,True,True
S3,deodorant,front,2851,254,111,0.43700787401574803,0.038933707471062784,0.0890915468256752,True,True
S3,batman,front,1033,100,30,0.3,0.02904162633107454,0.0968054211035818,True,True
S3,camera,front,1252,75,7,0.09333333333333334,0.005591054313099041,0.05990415335463259,False,False
S3,vitamins,front,2154,87,15,0.1724137931034483,0.006963788300835654,0.0403899721448468,False,False
S3,nutella,front,6954,229,8,0.034934497816593885,0.0011504170261719873,0.03293068737417314,False,False
S3,book,front,1894,118,7,0.059322033898305086,0.003695881731784583,0.06230200633579725,False,False
S3,mug,front,88,10,4,0.4,0.045454545454545456,0.11363636363636363,False,False
S3,peanut_butter,front,1485,57,8,0.14035087719298245,0.0053872053872053875,0.03838383838383838,False,False
S3,bottle,front,94,7,4,0.5714285714285714,0.0425531914893617,0.07446808510638298,False,False
S4,ornament,front,910,86,23,0.26744186046511625,0.025274725274725275,0.0945054945054945,True,True
S4,deodorant,front,2851,258,117,0.45348837209302323,0.04103823219922834,0.09049456331111891,True,True
